Student ID,First Name,Last Name,Country,Student Number,Grade,Status,Birthdate,Graduation Year,Age
13001,Ora,Klein,CA,13001,9,Active,10/3/1999,2019,23
13002,Beulah,McMillan,ES,13002,10,Active,18/4/1999,2018,23
13003,Florence,Stark,CA,13003,12,Active,20/5/1999,2016,23
13004,Noah,Gilbertson,UK,13004,9,Active,19/8/1999,2019,23
13005,Erna,Parker,UK,13005,11,Active,9/1/2000,2017,22
13006,Sherry,Santana,CA,13006,10,Active,22/4/2000,2018,22
13007,Ronald,Lees,UK,13012,9,Active,11/6/2000,2019,22
13008,Latasha,Pratt,US,13013,11,Active,15/6/2000,2016,22
13009,Misty,Thomas,US,13014,10,Active,22/6/2000,2017,22
13010,Petra,Barlow,CA,13015,9,Active,31/12/2000,2019,21
13011,Bonnie,Hampton,CA,13016,12,Active,2/2/2001,2017,21
13012,Dion,Matheson,CA,13017,10,Active,20/3/2001,2017,21
13013,Cesar,McCray,CA,13018,9,Active,17/7/2001,2020,21
13014,Rickey,Cottle,CA,13019,10,Active,18/8/2001,2019,21
13015,Fredrick,Markley,CA,13020,11,Active,6/2/2002,2018,20
13016,Joshua,Bartels,ES,13021,9,Active,9/6/2002,2020,20
13017,Maribel,Parsons,ES,13022,10,Active,22/6/2002,2019,20
13018,Erma,Ballard,US,13023,12,Active,31/7/2002,2017,20
13019,Wilfred,Bevins,UK,13024,9,Active,22/1/2003,2020,19
13020,Rogelio,Cazares,UK,13025,10,Active,24/1/2003,2019,19
13021,Dixie,Morrison,UK,13026,11,Active,15/2/2003,2018,19
13022,Williams,Bisson,CA,13027,9,Active,9/3/2003,2020,19
13023,Christie,Clayton,ES,13028,10,Active,5/4/2003,2019,19
13024,Angelina,Craig,US,13029,11,Active,2/6/2003,2018,19
13025,Earnest,Rome,UK,13030,9,Active,29/10/2003,2020,18
13026,Madeline,Sargent,US,13031,10,Active,26/8/1999,2019,23
13027,Gene,Angulo,UK,13032,9,Active,4/1/2000,2019,22
13028,Daphne,Bentley,US,13033,11,Active,11/2/2000,2017,22
13029,Dora,Montgomery,ES,13034,10,Active,8/6/2000,2017,22
13030,Bertha,Nolan,ES,13035,9,Active,11/10/2000,2020,21
13031,Stacey,Foltz,CA,13036,12,Active,3/11/2000,2019,21
13032,Wilma,Aguirre,CA,13037,10,Active,7/11/2000,2018,21
13033,Forrest,Downes,UK,13038,9,Active,27/7/2001,2020,21
13034,Noah,Roger,UK,13039,12,Active,14/10/2001,2019,20
13035,Tracy,Baxley,US,13040,10,Active,28/10/2001,2017,20
13036,Federico,Fiore,UK,13041,9,Active,19/3/2002,2020,20
13037,Nancy,Mendoza,US,13042,10,Active,15/5/2002,2019,20
13038,Luther,Briley,UK,13043,12,Active,25/5/2002,2017,20
13039,Norbert,Lunn,CA,13044,9,Active,26/7/2002,2020,20
13040,Fidel,Obryan,CA,13045,11,Active,23/9/2002,2018,20
13041,Byron,Montenegro,CA,13046,10,Active,26/10/2002,2019,19
13042,Blaine,Dulaney,UK,13047,9,Active,13/11/2002,2020,19
13043,Dennis,Word,UK,13048,12,Active,28/12/2002,2017,19
13044,Coy,Whiteman,CA,13049,11,Active,30/1/2003,2018,19
13045,Rosie,Ingram,UK,13050,9,Active,4/2/2003,2020,19
13046,Anita,Miranda,US,13051,10,Active,26/2/2003,2019,19
13047,Jerri,Noel,UK,13052,9,Active,9/6/2003,2020,19
13048,Dona,Small,ES,13053,11,Active,8/10/2003,2018,18
13049,Erik,Theriault,ES,13054,10,Active,15/12/2003,2019,18
13050,Earnestine,Mosley,ES,13055,9,Active,19/12/2003,2020,18
13051,Jimmie,Petty,UK,13056,12,Active,5/1/1999,2017,23
13052,Burton,Saul,ES,13057,10,Active,30/4/1999,2019,23
13053,Juanita,Hardy,ES,13058,9,Active,5/12/1999,2020,22
13054,Benny,Vanover,US,13059,10,Active,13/2/2000,2019,22
13055,Harrison,Badillo,CA,13060,11,Active,14/4/2000,2018,22
13056,Jorge,Bevins,CA,13061,9,Active,9/9/2000,2020,22
13057,Briana,Tyson,UK,13062,10,Active,16/9/2000,2019,22
13058,Shelby,Abbott,US,13063,12,Active,8/11/2000,2017,21
13059,Carlos,Lauer,CA,13064,9,Active,15/11/2000,2020,21
13060,Kristi,Kaufman,UK,13065,10,Active,25/4/2001,2019,21
13061,Sophia,Wilder,UK,13066,11,Active,14/6/2001,2018,21
13062,Angelita,Valentine,US,13067,9,Active,28/7/2001,2020,21
13063,Dexter,Wyant,UK,13068,10,Active,3/8/2001,2019,21
13064,Monique,McMillan,UK,13069,11,Active,5/8/2001,2018,21
13065,Miles,Runyan,US,13070,9,Active,9/9/2001,2020,21
13066,Liza,Grimes,UK,13071,10,Active,18/7/2002,2019,20
13067,Mara,Alford,ES,13072,9,Active,21/7/2002,2020,20
13068,Alison,Ochoa,UK,13073,11,Active,16/9/2002,2018,20
13069,Leslie,Navarro,UK,13074,10,Active,6/10/2002,2019,20
13070,Jo,Ochoa,CA,13075,9,Active,5/12/2002,2020,19
13071,Jacklyn,Steele,US,13076,12,Active,5/1/2003,2017,19
13072,Karyn,Dale,US,13077,10,Active,7/2/2003,2019,19
13073,Ines,Meyers,ES,13078,9,Active,20/4/2003,2020,19
13074,Vincent,Doucette,US,13079,12,Active,19/8/2003,2017,19
13075,Noemi,Chase,US,13080,10,Active,21/10/2003,2019,18
13076,Daryl,Flemming,CA,13081,9,Active,30/1/1999,2020,23
13077,Winnie,Carson,UK,13082,10,Active,11/4/1999,2019,23
13078,Ilene,Valentine,UK,13083,12,Active,25/4/1999,2017,23
13079,Alton,Wooley,CA,13084,9,Active,13/8/1999,2020,23
13080,Lizzie,Stokes,CA,13085,11,Active,8/9/1999,2018,23
13081,Amos,Crumpton,UK,13086,10,Active,5/1/2000,2019,22
13082,Belinda,Orr,UK,13087,9,Active,6/3/2000,2020,22
13083,Desiree,Hawkins,US,13088,12,Active,11/4/2000,2017,22
13084,Dane,McCullough,CA,13089,11,Active,31/5/2000,2018,22
13085,Genevieve,Cole,US,13090,9,Active,26/6/2000,2020,22
13086,Ramiro,Skeen,ES,13091,10,Active,29/11/2000,2019,21
